IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
142.251.209.42,443,192.168.20.101,49094,UDP,2,1509,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,46282,8.8.4.4,853,TCP,56,13380,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,40296,216.58.204.238,80,TCP,12,2372,N/A | N/A,N/A | N/A,N/A | clients2.google.com,IP Privato/Riservato,GOOGLE
142.250.180.132,443,192.168.20.101,46744,TCP,3,208,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.250.180.132,443,192.168.20.101,46746,TCP,3,208,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.250.180.132,443,192.168.20.101,46748,TCP,3,208,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.250.153.84,443,192.168.20.101,43430,TCP,3,208,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.250.153.84,443,192.168.20.101,43432,TCP,39,16864,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.250.180.132,443,192.168.20.101,47027,UDP,980,856195,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,43918,99.84.41.104,443,TCP,23,9066,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AMAZO-4
151.101.65.91,443,192.168.20.101,41016,UDP,33,18961,N/A | N/A,N/A | N/A,N/A | N/A,SKYCA-3,IP Privato/Riservato
192.168.20.101,43920,99.84.41.104,443,TCP,23,9034,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AMAZO-4
151.101.193.229,443,192.168.20.101,41024,TCP,25,9694,N/A | N/A,N/A | N/A,N/A | N/A,SKYCA-3,IP Privato/Riservato
142.251.209.46,443,192.168.20.101,38728,UDP,49,37978,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,49886,216.58.204.138,443,UDP,66,39488,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,49482,216.58.204.138,443,TCP,26,10476,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,38062,192.178.203.95,443,UDP,33,30296,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,39428,192.178.203.95,443,TCP,53,17475,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
157.240.231.1,443,192.168.20.101,47952,UDP,47,24876,N/A | N/A,N/A | N/A,N/A | N/A,THEFA-3,IP Privato/Riservato
157.240.231.1,443,192.168.20.101,39204,TCP,26,8182,N/A | N/A,N/A | N/A,N/A | N/A,THEFA-3,IP Privato/Riservato
192.168.20.101,39774,213.209.0.20,443,TCP,28,14093,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,IT-MATRIX-991115
192.168.20.101,47792,8.8.4.4,443,TCP,34,11932,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,47794,8.8.4.4,443,TCP,48,14541,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,47796,8.8.4.4,443,TCP,76,19774,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,47515,8.8.8.8,53,UDP,2,164,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,48792,8.8.8.8,53,UDP,2,194,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,44636,216.58.204.132,443,TCP,18,3076,N/A | www.google.com.,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.251.209.35,80,192.168.20.101,45628,TCP,10,1049,connectivitycheck.gstatic.com. | N/A,N/A | N/A,connectivitycheck.gstatic.com | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,47350,8.8.4.4,443,UDP,39,25423,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
142.250.180.138,443,192.168.20.101,38632,TCP,60,37553,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,47431,8.8.4.4,443,UDP,276,77511,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,41156,192.178.204.94,443,TCP,170,115258,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,45956,192.178.202.138,443,UDP,29,25798,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,41002,192.178.202.138,443,TCP,150,63225,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.250.180.130,443,192.168.20.101,40829,UDP,45,26448,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,42524,216.58.209.33,443,UDP,37,23769,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,39874,192.178.203.97,443,UDP,41,19850,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,39624,216.58.209.33,443,TCP,35,16146,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,47910,192.178.203.97,443,TCP,23,10405,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,47844,8.8.4.4,443,TCP,32,11728,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,42388,216.239.34.157,443,TCP,112,76413,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
